,Dmean,SP-3,SP-4,SP-5,MPC2,MPC3,MPC4,piPC2,MWC2,MWC3,MWC4,MWC5,MWC6,SRW4,SRW6,SRW8
930,-3.2000000000000006,-1.9561092,-1.8285831,-1.6773717,-1.8323027,-1.7801324,-1.6010233,-3.757504,-4.0881634,-4.497196,-4.5376744,-4.8300166,-4.795055,-4.144878,-4.479646,-4.7454634
931,-5.366666666666667,-0.38997945,-0.4511583,-0.5731848,-0.37385982,-0.526353,-0.58097833,-0.49565524,-0.03924557,-0.13506186,-0.21511994,-0.26824945,-0.31295106,-0.07301628,-0.2601742,-0.40742093
932,-7.0,-0.15260018,0.0355546,-0.11332222,-0.16551086,-0.09648577,-0.033637222,0.3977237,0.05762303,0.110934846,0.14230278,0.16567795,0.18641068,0.06812145,0.13454437,0.19665767
933,-5.933333333333334,-0.25310275,-0.2474248,-0.32273105,-0.2175981,-0.31141937,-0.28242865,-0.31879273,0.088830754,0.03701421,-0.0011888064,-0.019364798,-0.030550208,0.06812145,-0.069783546,-0.17687197
934,-5.533333333333334,-0.693028,-0.6814522,-0.64269936,-0.6863833,-0.70546436,-0.6804949,-0.26696646,-0.48628017,-0.48984674,-0.5097643,-0.50380176,-0.51586145,-0.49538183,-0.55193377,-0.58255816
935,-6.3,-0.3227303,-0.3203906,-0.086922675,-0.37385982,-0.27559713,-0.20779122,0.024309544,-0.14140147,-0.08024353,-0.057215877,-0.0036676263,0.018659407,-0.1369956,-0.07397103,-0.0011597179
936,-6.2,-0.4693755,-0.47082534,-0.39729694,-0.47803432,-0.45470846,-0.45658264,-0.08282309,-0.24945354,-0.22074114,-0.19804023,-0.16007514,-0.1337923,-0.24885187,-0.19574969,-0.12818953
937,-6.7,-0.21722166,0.0012226211,0.06988421,-0.2175981,-0.024841238,0.14051677,0.19745559,-0.0063959393,0.09883534,0.18294671,0.26315784,0.32872355,0.008958667,0.13084432,0.25165305
938,-6.033333333333334,-0.039954092,-0.20239916,-0.36625803,-0.11342362,-0.16813032,-0.28242865,0.10060107,0.14972661,0.13488004,0.105283834,0.09079404,0.06759767,0.14414829,0.09716144,0.04840731
939,-8.6,1.5704936,1.752553,1.9111332,1.6054554,2.0528505,2.3796396,0.84183383,1.2167034,1.3144692,1.4173512,1.488303,1.5610329,1.244697,1.4013755,1.5298537
940,-8.8,1.051016,1.1938686,1.4938442,1.1366702,1.5871608,1.931815,0.5839113,0.9435425,1.0989445,1.2369022,1.3528984,1.4538772,0.98148054,1.1986866,1.3821635
941,-9.0,0.787408,1.0310924,1.1902555,0.71997225,1.0140046,1.2600782,0.942538,0.75821036,0.8365147,0.8768746,0.9198702,0.94564784,0.7691623,0.8327315,0.8779575
942,-8.299999999999999,1.3631228,1.2367827,1.3188598,1.2408447,1.193116,1.0859243,1.2405198,1.1476676,1.0921744,1.0307714,0.9778226,0.92663556,1.1287237,1.039768,0.933193
943,-6.666666666666667,0.0826288,0.1003866,-0.06269716,-0.009249136,0.11844785,0.065879345,-0.028444888,0.20870382,0.2718966,0.2990089,0.33763984,0.35572475,0.21714859,0.28967857,0.35640362
944,-6.5,0.0826288,0.1003866,-0.06269716,-0.009249136,0.11844785,0.065879345,-0.028444888,0.20870382,0.2718966,0.2990089,0.33763984,0.35572475,0.21714859,0.28967857,0.35640362
945,-4.9,-0.7325389,-0.82552004,-0.99292666,-0.84264505,-0.59799755,-0.63073665,-1.3829257,-0.90935767,-0.6515968,-0.47570217,-0.2894551,-0.16405095,-0.8429798,-0.4700289,-0.14556137
946,-6.633333333333333,0.27652693,0.18208174,0.1003974,0.2511871,0.15427011,0.065879345,0.7523385,0.5035434,0.44890505,0.3877033,0.34841576,0.30057433,0.48315373,0.35888532,0.23641127
947,-6.099999999999999,0.09412181,0.17649797,0.20310447,0.042838104,0.11844785,0.2151542,0.35513997,0.32136288,0.32589084,0.3277685,0.35300893,0.3713283,0.30449274,0.279551,0.2970414
948,-5.5,-0.63566387,-0.4332204,-0.5956235,-0.53012156,-0.6338198,-0.5560992,-0.54278207,-0.3251158,-0.34211367,-0.3277586,-0.3549841,-0.3474984,-0.31939495,-0.32721108,-0.332494
949,-7.900000000000001,0.43843856,0.45325112,0.38484704,0.30327433,0.40502602,0.36442906,0.5456326,0.5035434,0.5262474,0.5084949,0.50944155,0.48960903,0.49856442,0.49513048,0.48453707
950,-8.299999999999999,2.9468536,2.6636176,2.3472714,2.803462,2.6976511,2.4045186,1.5474082,1.8442864,1.7577254,1.6992242,1.6186574,1.562477,1.8263813,1.7235968,1.594355
951,-6.3,-0.51634145,-0.6511864,-0.6795626,-0.53012156,-0.5621753,-0.63073665,0.14969212,-0.364125,-0.32646072,-0.29132113,-0.2659118,-0.24366401,-0.3435258,-0.2743126,-0.23902276
952,-8.933333333333332,2.4188914,2.570302,2.3013532,2.3346767,2.3752508,2.3298812,1.0859658,1.6664352,1.6040511,1.5494442,1.4819641,1.4305012,1.6467514,1.541361,1.4221418
953,-8.700000000000001,1.2737551,1.3829099,1.1168553,1.4491936,1.193116,1.061045,1.34201,1.2335715,1.1521603,1.1248664,1.0469347,1.017726,1.2241497,1.177179,1.1062486
954,-5.333333333333333,-0.6875808,-0.70841885,-0.79977506,-0.73847055,-0.70546436,-0.70537406,-0.64098185,-0.61696535,-0.55984944,-0.53754866,-0.5010559,-0.4875779,-0.60408825,-0.56316715,-0.5238875
